t	y
0.0	0.0
41.37931034482759	1.2693816315321968e-10
82.75862068965517	2.4426383936529024e-10
124.13793103448276	3.5047799022412986e-10
165.51724137931035	4.4565702652353514e-10
206.89655172413794	5.28445309719814e-10
248.27586206896552	6.029460589524702e-10
289.6551724137931	6.713168889679395e-10
331.0344827586207	7.335577997662221e-10
372.41379310344826	7.89668791347318e-10
413.7931034482759	8.396498637112271e-10
455.17241379310343	8.835010168579495e-10
496.55172413793105	9.21222250787485e-10
537.9310344827586	9.507178168472576e-10
579.3103448275862	9.781585507307756e-10
620.6896551724138	1.0041050503863794e-9
662.0689655172414	1.0285573158140693e-9
703.448275862069	1.0515153470138448e-9
744.8275862068965	1.0729791439857063e-9
786.2068965517242	1.0929487067296538e-9
827.5862068965517	1.111424035245687e-9
868.9655172413793	1.1284051295338064e-9
910.3448275862069	1.1438919895940115e-9
951.7241379310345	1.1578846154263025e-9
993.1034482758621	1.1703830070306795e-9
1034.4827586206898	1.1813871644071424e-9
1075.8620689655172	1.190897087555691e-9
1117.2413793103449	1.1989127764763257e-9
1158.6206896551723	1.2054342311690462e-9
1200.0	1.2104614516338525e-9
