t	y
0.0	0.0
0.034482758620689655	5.016435740477911e-9
0.06896551724137931	7.241588969887717e-9
0.10344827586206896	8.581368170833088e-9
0.13793103448275862	9.442986296138088e-9
0.1724137931034483	9.826443345802715e-9
0.20689655172413793	9.80209929578053e-9
0.2413793103448276	9.736853166601922e-9
0.27586206896551724	9.682654106233628e-9
0.3103448275862069	9.63950211467565e-9
0.3448275862068966	9.607397191927987e-9
0.3793103448275862	9.586339337990638e-9
0.41379310344827586	9.576328552863604e-9
0.4482758620689655	9.577364836546885e-9
0.4827586206896552	9.589448189040482e-9
0.5172413793103449	9.609403240609457e-9
0.5517241379310345	9.620378815307873e-9
0.5862068965517241	9.630146631596173e-9
0.6206896551724138	9.638706689474357e-9
0.6551724137931034	9.646058988942426e-9
0.6896551724137931	9.652203530000381e-9
0.7241379310344828	9.657140312648222e-9
0.7586206896551724	9.660869336885945e-9
0.7931034482758621	9.663390602713555e-9
0.8275862068965517	9.66470411013105e-9
0.8620689655172413	9.664809859138429e-9
0.896551724137931	9.663707849735693e-9
0.9310344827586207	9.661398081922842e-9
0.9655172413793104	9.657880555699877e-9
1.0	9.653155271066796e-9
