t	y
0.0	0.0
41.37931034482759	4.692212415353591e-10
82.75862068965517	1.2533060442370185e-9
124.13793103448276	2.142873498967412e-9
165.51724137931035	2.955675161057488e-9
206.89655172413794	3.675988284473688e-9
248.27586206896552	4.324285316870979e-9
289.6551724137931	4.916035359326615e-9
331.0344827586207	5.451238411840596e-9
372.41379310344826	5.929894474412922e-9
413.7931034482759	6.3520035470435935e-9
455.17241379310343	6.717565629732609e-9
496.55172413793105	7.02658072247997e-9
537.9310344827586	7.268624556923131e-9
579.3103448275862	7.493259848200549e-9
620.6896551724138	7.704472343486467e-9
662.0689655172414	7.902262042780887e-9
703.448275862069	8.086628946083806e-9
744.8275862068965	8.257573053395228e-9
786.2068965517242	8.41509436471515e-9
827.5862068965517	8.55919288004357e-9
868.9655172413793	8.689868599380495e-9
910.3448275862069	8.807121522725919e-9
951.7241379310345	8.910951650079843e-9
993.1034482758621	9.001358981442268e-9
1034.4827586206898	9.078343516813194e-9
1075.8620689655172	9.14190525619262e-9
1117.2413793103449	9.192044199580546e-9
1158.6206896551723	9.228760346976976e-9
1200.0	9.252053698381904e-9
