t	y
0.0	0.0
41.37931034482759	6.267166057610682e-9
82.75862068965517	6.429164132842226e-9
124.13793103448276	5.985404272418431e-9
165.51724137931035	5.456830428489134e-9
206.89655172413794	4.8816478594482345e-9
248.27586206896552	4.346056235149249e-9
289.6551724137931	3.85418545239128e-9
331.0344827586207	3.406035511174331e-9
372.41379310344826	3.0016064114983995e-9
413.7931034482759	2.6408981533634856e-9
455.17241379310343	2.3239107367695897e-9
496.55172413793105	2.0506441617167126e-9
537.9310344827586	1.8410387703490683e-9
579.3103448275862	1.6475901494940965e-9
620.6896551724138	1.4656756667182128e-9
662.0689655172414	1.295295322021418e-9
703.448275862069	1.1364491154037123e-9
744.8275862068965	9.89137046865095e-10
786.2068965517242	8.533591164055658e-10
827.5862068965517	7.291153240251261e-10
868.9655172413793	6.164056697237746e-10
910.3448275862069	5.152301535015119e-10
951.7241379310345	4.2558877535833753e-10
993.1034482758621	3.4748153529425196e-10
1034.4827586206898	2.8090843330925516e-10
1075.8620689655172	2.2586946940334693e-10
1117.2413793103449	1.8236464357652752e-10
1158.6206896551723	1.5039395582879692e-10
1200.0	1.299574061601543e-10
