t	y
0.0	0.0
41.37931034482759	8.939795902604265e-8
82.75862068965517	1.220356460898992e-7
124.13793103448276	1.2205982666635645e-7
165.51724137931035	1.1557446905849143e-7
206.89655172413794	1.0419746432210641e-7
248.27586206896552	9.303525189248203e-8
289.6551724137931	8.273786675712049e-8
331.0344827586207	7.330530891602178e-8
372.41379310344826	6.47375783691859e-8
413.7931034482759	5.7034675116612826e-8
455.17241379310343	5.01965991583026e-8
496.55172413793105	4.4223350494255203e-8
537.9310344827586	3.966157300364768e-8
579.3103448275862	3.546274485764528e-8
620.6896551724138	3.151624387885102e-8
662.0689655172414	2.7822070067264936e-8
703.448275862069	2.4380223422887018e-8
744.8275862068965	2.119070394571725e-8
786.2068965517242	1.825351163575564e-8
827.5862068965517	1.5568646493002198e-8
868.9655172413793	1.3136108517456913e-8
910.3448275862069	1.0955897709119786e-8
951.7241379310345	9.02801406799082e-9
993.1034482758621	7.352457594070002e-9
1034.4827586206898	5.9292282873573555e-9
1075.8620689655172	4.758326147852877e-9
1117.2413793103449	3.83975117555655e-9
1158.6206896551723	3.1735033704683866e-9
1200.0	2.7595827325883748e-9
