t	y
0.0	0.0
41.37931034482759	6.205869231059598e-12
82.75862068965517	1.2170428731953994e-11
124.13793103448276	1.7585067513163607e-11
165.51724137931035	2.2427088310959506e-11
206.89655172413794	2.66367114923121e-11
248.27586206896552	3.042688861690669e-11
289.6551724137931	3.3905169431733116e-11
331.0344827586207	3.707155393679136e-11
372.41379310344826	3.992604213208142e-11
413.7931034482759	4.246863401760332e-11
455.17241379310343	4.4699329593357034e-11
496.55172413793105	4.661812885934257e-11
537.9310344827586	4.811843293866915e-11
579.3103448275862	4.951418736559012e-11
620.6896551724138	5.083391103013713e-11
662.0689655172414	5.207760393231017e-11
703.448275862069	5.324526607210925e-11
744.8275862068965	5.4336897449534356e-11
786.2068965517242	5.53524980645855e-11
827.5862068965517	5.629206791726268e-11
868.9655172413793	5.715560700756589e-11
910.3448275862069	5.7943115335495135e-11
951.7241379310345	5.865459290105041e-11
993.1034482758621	5.929003970423173e-11
1034.4827586206898	5.984945574503908e-11
1075.8620689655172	6.033284102347246e-11
1117.2413793103449	6.074019553953188e-11
1158.6206896551723	6.107151929321732e-11
1200.0	6.132681228452881e-11
